initial best solution: [0 1 0 0 1 0 0 0 0 1 1 1 0 1 0 1 1 0 1 0]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [1 0 1 0 1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1], currently best solution [1 0 1 0 1 1 0 0 1 1 0 1 1 0 0 0 1 0 0 1]
Current best no of unsat 2, proposed best no of unsat 2, tmp solution [1 0 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 1], currently best solution [1 0 1 1 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 1]
############ restart #################
Current best no of unsat 14, proposed best no of unsat 14, tmp solution [0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1], currently best solution [0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 1]
Current best no of unsat 10, proposed best no of unsat 10, tmp solution [0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1], currently best solution [0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1]
Current best no of unsat 9, proposed best no of unsat 9, tmp solution [0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1], currently best solution [0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1]
Current best no of unsat 8, proposed best no of unsat 8, tmp solution [0 0 0 1 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1], currently best solution [0 0 0 1 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0 1]
Current best no of unsat 7, proposed best no of unsat 7, tmp solution [0 0 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1], currently best solution [0 0 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 1]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [0 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 0 0 0 1], currently best solution [0 0 0 1 1 1 1 0 0 0 1 1 0 1 0 1 0 0 0 1]
Current best no of unsat 5, proposed best no of unsat 5, tmp solution [0 0 1 1 1 1 1 0 0 0 1 1 0 1 0 1 0 0 0 1], currently best solution [0 0 1 1 1 1 1 0 0 0 1 1 0 1 0 1 0 0 0 1]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [0 1 0 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 1], currently best solution [0 1 0 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 1]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [1 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 0 0 1], currently best solution [1 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 0 0 1]
Current best no of unsat 2, proposed best no of unsat 2, tmp solution [1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0], currently best solution [1 0 0 1 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0]
############ restart #################
Current best no of unsat 19, proposed best no of unsat 19, tmp solution [1 1 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0], currently best solution [1 1 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0]
Current best no of unsat 17, proposed best no of unsat 17, tmp solution [0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0], currently best solution [0 1 1 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0]
Current best no of unsat 14, proposed best no of unsat 14, tmp solution [0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0], currently best solution [0 1 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0]
Current best no of unsat 12, proposed best no of unsat 12, tmp solution [0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0], currently best solution [0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 0]
Current best no of unsat 10, proposed best no of unsat 10, tmp solution [0 1 1 0 0 0 0 1 0 0 1 1 1 1 0 0 1 1 1 1], currently best solution [0 1 1 0 0 0 0 1 0 0 1 1 1 1 0 0 1 1 1 1]
Current best no of unsat 8, proposed best no of unsat 8, tmp solution [1 1 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1], currently best solution [1 1 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1]
Current best no of unsat 7, proposed best no of unsat 7, tmp solution [1 0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1], currently best solution [1 0 0 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [0 0 1 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1], currently best solution [0 0 1 1 1 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [0 0 1 1 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0], currently best solution [0 0 1 1 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [0 0 1 1 0 0 1 1 1 0 1 1 0 1 0 1 1 1 0 0], currently best solution [0 0 1 1 0 0 1 1 1 0 1 1 0 1 0 1 1 1 0 0]
############ restart #################
Current best no of unsat 14, proposed best no of unsat 14, tmp solution [1 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 1 0 1 0], currently best solution [1 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 1 0 1 0]
Current best no of unsat 13, proposed best no of unsat 13, tmp solution [1 0 0 1 0 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0], currently best solution [1 0 0 1 0 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0]
Current best no of unsat 10, proposed best no of unsat 10, tmp solution [0 0 0 1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0], currently best solution [0 0 0 1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0]
Current best no of unsat 9, proposed best no of unsat 9, tmp solution [0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 0 1 1 1 0], currently best solution [0 0 0 1 0 0 1 1 1 0 0 1 0 1 1 0 1 1 1 0]
Current best no of unsat 8, proposed best no of unsat 8, tmp solution [0 1 0 0 0 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1], currently best solution [0 1 0 0 0 0 1 1 0 1 0 1 0 1 1 0 1 1 1 1]
Current best no of unsat 7, proposed best no of unsat 7, tmp solution [1 1 0 1 1 0 0 0 1 1 1 0 0 0 1 0 1 1 0 1], currently best solution [1 1 0 1 1 0 0 0 1 1 1 0 0 0 1 0 1 1 0 1]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1], currently best solution [1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1], currently best solution [1 0 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1], currently best solution [1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 1]
############ restart #################
Current best no of unsat 8, proposed best no of unsat 8, tmp solution [1 1 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0], currently best solution [1 1 1 0 1 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1], currently best solution [1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 0 1 1]
Current best no of unsat 5, proposed best no of unsat 5, tmp solution [1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 1 1], currently best solution [1 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 1 1]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [1 1 0 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 1], currently best solution [1 1 0 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 1]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [1 1 1 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 1], currently best solution [1 1 1 1 0 0 0 1 0 1 1 0 0 1 0 1 1 1 0 1]
############ restart #################
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 1 1 0 0 0], currently best solution [0 0 0 0 0 1 0 0 1 1 1 0 1 1 0 1 1 0 0 0]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [1 0 1 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 1], currently best solution [1 0 1 1 0 1 0 0 0 1 0 1 1 0 0 0 1 0 0 1]
############ restart #################
Current best no of unsat 15, proposed best no of unsat 15, tmp solution [0 1 0 0 0 1 1 0 0 0 1 1 1 1 1 0 0 0 1 1], currently best solution [0 1 0 0 0 1 1 0 0 0 1 1 1 1 1 0 0 0 1 1]
Current best no of unsat 12, proposed best no of unsat 12, tmp solution [0 1 0 0 0 1 1 0 0 0 1 1 0 1 1 0 0 0 1 1], currently best solution [0 1 0 0 0 1 1 0 0 0 1 1 0 1 1 0 0 0 1 1]
Current best no of unsat 10, proposed best no of unsat 10, tmp solution [0 0 1 0 0 0 1 0 1 0 1 1 1 0 1 1 0 1 1 1], currently best solution [0 0 1 0 0 0 1 0 1 0 1 1 1 0 1 1 0 1 1 1]
Current best no of unsat 9, proposed best no of unsat 9, tmp solution [1 0 1 1 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1 0], currently best solution [1 0 1 1 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1 0]
Current best no of unsat 8, proposed best no of unsat 8, tmp solution [1 0 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 0 1 0], currently best solution [1 0 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 0 1 0]
Current best no of unsat 7, proposed best no of unsat 7, tmp solution [0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 1 0 1 0], currently best solution [0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 1 0 1 0]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 1 0 1 0], currently best solution [0 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 1 0 1 0]
Current best no of unsat 5, proposed best no of unsat 5, tmp solution [0 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 0 1 0], currently best solution [0 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 0 1 0]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [1 1 0 1 0 0 0 0 1 1 0 0 1 1 1 0 1 0 0 1], currently best solution [1 1 0 1 0 0 0 0 1 1 0 0 1 1 1 0 1 0 0 1]
############ restart #################
Current best no of unsat 10, proposed best no of unsat 10, tmp solution [0 1 1 0 1 1 0 1 0 1 1 1 0 0 0 1 0 0 0 1], currently best solution [0 1 1 0 1 1 0 1 0 1 1 1 0 0 0 1 0 0 0 1]
Current best no of unsat 9, proposed best no of unsat 9, tmp solution [1 0 1 0 0 1 1 1 0 1 0 0 1 1 0 1 1 0 0 1], currently best solution [1 0 1 0 0 1 1 1 0 1 0 0 1 1 0 1 1 0 0 1]
Current best no of unsat 8, proposed best no of unsat 8, tmp solution [1 0 1 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 0 1], currently best solution [1 0 1 0 0 1 1 1 1 0 0 0 0 1 0 1 1 0 0 1]
Current best no of unsat 7, proposed best no of unsat 7, tmp solution [1 0 0 1 0 1 1 1 0 1 0 0 1 0 0 0 1 0 1 1], currently best solution [1 0 0 1 0 1 1 1 0 1 0 0 1 0 0 0 1 0 1 1]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1 1], currently best solution [1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1 1]
Current best no of unsat 5, proposed best no of unsat 5, tmp solution [1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 1], currently best solution [1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 0 1]
Current best no of unsat 2, proposed best no of unsat 2, tmp solution [1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 1], currently best solution [1 0 0 0 0 1 0 0 1 0 0 0 0 1 1 1 1 0 0 1]
############ restart #################
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [1 0 0 1 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 1], currently best solution [1 0 0 1 1 0 1 1 1 1 0 0 0 0 1 0 0 0 1 1]
Current best no of unsat 5, proposed best no of unsat 5, tmp solution [1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1], currently best solution [1 0 0 1 1 0 1 1 1 1 0 1 0 0 0 0 0 0 1 1]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [1 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 1], currently best solution [1 1 0 1 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 1]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1], currently best solution [1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1]
############ restart #################
initial best solution: [1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1]
Current best no of unsat 14, proposed best no of unsat 14, tmp solution [1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1], currently best solution [1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 1]
Current best no of unsat 13, proposed best no of unsat 13, tmp solution [1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1], currently best solution [1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1]
Current best no of unsat 10, proposed best no of unsat 10, tmp solution [0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1], currently best solution [0 1 1 0 1 1 0 1 0 1 1 0 1 1 1 0 1 1 1 1]
Current best no of unsat 8, proposed best no of unsat 8, tmp solution [0 1 1 1 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0], currently best solution [0 1 1 1 1 0 1 0 1 0 1 1 0 0 1 0 1 0 1 0]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 1 0], currently best solution [0 1 1 1 0 0 1 1 1 0 1 1 0 0 1 0 1 0 1 0]
Current best no of unsat 5, proposed best no of unsat 5, tmp solution [1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 0 1 0 1 0], currently best solution [1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 0 1 0 1 0]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [0 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0], currently best solution [0 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [1 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0], currently best solution [1 0 0 1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 0 0]
Current best no of unsat 2, proposed best no of unsat 2, tmp solution [1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 1 0 0 1], currently best solution [1 0 1 0 0 1 1 0 1 0 1 1 0 1 0 1 1 0 0 1]
############ restart #################
Current best no of unsat 9, proposed best no of unsat 9, tmp solution [1 1 1 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 0], currently best solution [1 1 1 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 0]
Current best no of unsat 8, proposed best no of unsat 8, tmp solution [1 0 0 1 0 1 0 1 0 1 1 0 0 0 0 1 1 0 0 1], currently best solution [1 0 0 1 0 1 0 1 0 1 1 0 0 0 0 1 1 0 0 1]
Current best no of unsat 7, proposed best no of unsat 7, tmp solution [1 0 0 1 0 1 0 1 0 1 1 1 0 0 0 1 1 0 0 1], currently best solution [1 0 0 1 0 1 0 1 0 1 1 1 0 0 0 1 1 0 0 1]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1], currently best solution [1 0 0 1 0 1 0 0 0 1 1 1 0 0 0 0 1 0 0 1]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1], currently best solution [1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 1]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1], currently best solution [1 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 1 0 0 1]
############ restart #################
Current best no of unsat 11, proposed best no of unsat 11, tmp solution [1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 0], currently best solution [1 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 0]
Current best no of unsat 10, proposed best no of unsat 10, tmp solution [1 0 0 1 1 1 0 0 1 0 1 1 1 0 0 0 1 0 1 0], currently best solution [1 0 0 1 1 1 0 0 1 0 1 1 1 0 0 0 1 0 1 0]
Current best no of unsat 9, proposed best no of unsat 9, tmp solution [1 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 1 0 0], currently best solution [1 0 0 1 1 1 0 0 1 0 1 1 0 0 0 0 1 1 0 0]
Current best no of unsat 8, proposed best no of unsat 8, tmp solution [0 0 0 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0], currently best solution [0 0 0 0 0 1 0 1 1 1 0 0 1 0 1 0 1 0 1 0]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [0 0 0 0 0 1 0 1 1 1 0 1 1 0 1 0 1 0 1 0], currently best solution [0 0 0 0 0 1 0 1 1 1 0 1 1 0 1 0 1 0 1 0]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [0 0 0 1 0 1 0 1 1 1 0 1 1 0 1 0 1 0 1 0], currently best solution [0 0 0 1 0 1 0 1 1 1 0 1 1 0 1 0 1 0 1 0]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [1 1 0 1 0 0 1 1 1 1 1 1 0 1 0 0 1 1 0 1], currently best solution [1 1 0 1 0 0 1 1 1 1 1 1 0 1 0 0 1 1 0 1]
############ restart #################
Current best no of unsat 11, proposed best no of unsat 11, tmp solution [1 1 0 1 1 0 1 1 0 0 1 1 1 1 0 0 0 0 0 1], currently best solution [1 1 0 1 1 0 1 1 0 0 1 1 1 1 0 0 0 0 0 1]
Current best no of unsat 9, proposed best no of unsat 9, tmp solution [1 0 0 1 1 0 1 1 0 0 1 1 1 1 0 0 0 0 0 1], currently best solution [1 0 0 1 1 0 1 1 0 0 1 1 1 1 0 0 0 0 0 1]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [1 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1], currently best solution [1 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1], currently best solution [1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [1 1 0 1 0 1 0 1 0 1 1 1 0 1 0 0 0 1 1 1], currently best solution [1 1 0 1 0 1 0 1 0 1 1 1 0 1 0 0 0 1 1 1]
############ restart #################
Current best no of unsat 11, proposed best no of unsat 11, tmp solution [1 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0 0 1 1 0], currently best solution [1 0 0 0 1 1 0 1 1 1 0 0 0 1 0 0 0 1 1 0]
Current best no of unsat 10, proposed best no of unsat 10, tmp solution [1 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1], currently best solution [1 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1]
Current best no of unsat 9, proposed best no of unsat 9, tmp solution [1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 1], currently best solution [1 0 0 0 1 0 1 0 1 0 0 1 1 0 1 1 1 1 0 1]
Current best no of unsat 8, proposed best no of unsat 8, tmp solution [0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1], currently best solution [0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [1 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0], currently best solution [1 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0], currently best solution [1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [0 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 1], currently best solution [0 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 1 1]
############ restart #################
Current best no of unsat 11, proposed best no of unsat 11, tmp solution [0 1 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0], currently best solution [0 1 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0]
Current best no of unsat 10, proposed best no of unsat 10, tmp solution [0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 1 1 1 0], currently best solution [0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 1 1 1 0]
Current best no of unsat 9, proposed best no of unsat 9, tmp solution [0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 1 1 1 0], currently best solution [0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 1 1 1 0]
Current best no of unsat 7, proposed best no of unsat 7, tmp solution [0 0 1 0 1 1 0 0 1 0 1 1 0 1 0 0 1 1 1 0], currently best solution [0 0 1 0 1 1 0 0 1 0 1 1 0 1 0 0 1 1 1 0]
Current best no of unsat 5, proposed best no of unsat 5, tmp solution [1 0 0 0 1 1 0 0 1 0 1 1 0 1 0 0 0 1 1 0], currently best solution [1 0 0 0 1 1 0 0 1 0 1 1 0 1 0 0 0 1 1 0]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 0 1 1 0 1], currently best solution [1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 0 1 1 0 1]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 1 1 1 0 1], currently best solution [1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 1 1 1 0 1]
############ restart #################
Current best no of unsat 11, proposed best no of unsat 11, tmp solution [1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 1], currently best solution [1 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 1]
Current best no of unsat 10, proposed best no of unsat 10, tmp solution [1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 1 1], currently best solution [1 0 1 0 0 0 0 1 0 1 0 1 0 0 1 1 1 0 1 1]
Current best no of unsat 6, proposed best no of unsat 6, tmp solution [1 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1], currently best solution [1 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1]
Current best no of unsat 5, proposed best no of unsat 5, tmp solution [1 0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1], currently best solution [1 0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 1 0 0 1]
Current best no of unsat 4, proposed best no of unsat 4, tmp solution [0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 0 1 1 1 0], currently best solution [0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 0 1 1 1 0]
Current best no of unsat 3, proposed best no of unsat 3, tmp solution [0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0], currently best solution [0 1 0 1 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0]
############ restart #################
